Date,NVDA_Close,NVDA_Volume,QQQ_Close,QQQ_Volume,Epoch,NVDA_Return,QQQ_Return
4/1/2010,0.4237836599349975,800204000,40.290775299072266,62822800,Pre-Attention (2010–2017),,
5/1/2010,0.4299719929695129,728648000,40.290775299072266,62935600,Pre-Attention (2010–2017),0.014603,0
6/1/2010,0.4327223896980285,649168000,40.04775619506836,96033000,Pre-Attention (2010–2017),0.006397,-0.006032
7/1/2010,0.4242421984672546,547792000,40.07381439208984,77094100,Pre-Attention (2010–2017),-0.019597,0.000651
8/1/2010,0.4251589775085449,478168000,40.40361785888672,88886600,Pre-Attention (2010–2017),0.002161,0.00823
11/1/2010,0.4191998243331909,556612000,40.238712310791016,104673400,Pre-Attention (2010–2017),-0.014016,-0.004081
12/1/2010,0.4049896001815796,627432000,39.73529815673828,90673900,Pre-Attention (2010–2017),-0.033898,-0.012511
13/1/2010,0.4104903638362884,508868000,40.23003005981445,100661000,Pre-Attention (2010–2017),0.013582,0.012451
14/1/2010,0.4040730595588684,608524000,40.26475524902344,75209000,Pre-Attention (2010–2017),-0.015633,0.000863
15/1/2010,0.3921546339988708,818192000,39.79603958129883,126849300,Pre-Attention (2010–2017),-0.029496,-0.011641
19/1/2010,0.3994890451431274,545328000,40.43834686279297,84388200,Pre-Attention (2010–2017),0.018703,0.01614
20/1/2010,0.3978846073150635,719728000,39.85680008,145680000,Pre-Attention (2010–2017),-0.004016,-0.014381
21/1/2010,0.390779436,608632000,39.48359680175781,204939600,Pre-Attention (2010–2017),-0.017857,-0.009364
22/1/2010,0.3772568702697754,1067916000,38.32919692993164,171098700,Pre-Attention (2010–2017),-0.034604,-0.029237
25/1/2010,0.3836743831634521,643676000,38.45938873291016,154218700,Pre-Attention (2010–2017),0.017011,0.003397
26/1/2010,0.3715269267559051,714636000,38.49410629272461,140816500,Pre-Attention (2010–2017),-0.031661,0.000903
27/1/2010,0.3816116750240326,812504000,38.79790115356445,161632700,Pre-Attention (2010–2017),0.027144,0.007892
28/1/2010,0.3687767088413238,687764000,37.79972076416016,221439800,Pre-Attention (2010–2017),-0.033634,-0.025728
29/1/2010,0.3527329266071319,774700000,37.14009094238281,212099600,Pre-Attention (2010–2017),-0.043505,-0.017451
1/2/2010,0.3797780573368072,949832000,37.54802703857422,136827100,Pre-Attention (2010–2017),0.076673,0.010984
2/2/2010,0.3836743831634521,849812000,37.88654708862305,110727700,Pre-Attention (2010–2017),0.010259,0.009016
3/2/2010,0.3868831992149353,562296000,38.09484863,93581600,Pre-Attention (2010–2017),0.008363,0.005498
4/2/2010,0.3644219040870666,783480000,36.99254608154297,151652500,Pre-Attention (2010–2017),-0.058057,-0.028936
5/2/2010,0.3717562556266784,604856000,37.30500411987305,213618600,Pre-Attention (2010–2017),0.020126,0.008447
